template_id	template_smarts	reaction_class_id	reaction_name	annotation_method	annotation_confidence	example_reactants	example_product
83	[#6:1][C:2]#[N:3]>>[#6:1][c:2]1[n:3][nH][n][n]1	tetrazole_terminal	tetrazole_terminal	smarts-rules	1.0	CC#N	Cc1nn[nH]n1
84	[N:1]C(=O)OC([CH3])([CH3])[CH3]>>[N:1]	6.1.1	uncategorized n-boc deprotection	rxnfp-50	0.9983985332653026	CNC(=O)OC(C)(C)C	CN
85	[C:1](=[O:2])[O:3][#6]>>[C:1](=[O:2])[O:3]	6.3.7	uncategorized methoxy to hydroxy	rxnfp-50	0.7384770082846037	COC=O	O=CO
86	[NH3+,NH2:1]-[C$(C(N)(C)(C)(C)),C$([CH](N)(C)(C)),C$([CH2](N)(C)):2]-[C$(C(c)(C)(C)(C)),C$([CH](c)(C)(C)),C$([CH2](c)(C)):3]-[c:4][cH1:5].[CH:6](-[#6:7])=[O]>>[#6:7]-[CH:6]1[N:1][C:2][C:3][c:4][c:5]1	reductive amination	reductive amination	smarts-rules	1.0	CC(N)Cc1ccccc1|CC=O	CC1Cc2ccccc2C(C)N1
87	[C$(C(=C)([CX4,OX2,NX3])([CX4,OX2,NX3])),C$([CH](=C)([CX4,OX2,NX3])),C$([CH2](=C)):1]=[C$(C(=C)([CX4,OX2,NX3])([CX4,OX2,NX3])),C$([CH](=C)([CX4,OX2,NX3])),C$([CH2](=C)):2].[C$(C(=C)([CX4,OX2,NX3])([CX4,OX2,NX3])),C$([CH](=C)([CX4,OX2,NX3])),C$([CH2](=C)):3]=[C$([C](=C)(C)([CX4,OX2,NX3])),C$([CH](=C)(C)):4]-[C$([C](=C)(C)([CX4,OX2,NX3])),C$([CH](=C)(C)):5]=[C$(C(=C)([CX4,OX2,NX3])([CX4,OX2,NX3])),C$([CH](=C)([CX4,OX2,NX3])),C$([CH2](=C)):6]>>[C:1]1[C:2][C:3][C:4]=[C:5][C:6]1	10.4.2	uncategorized methylation	rxnfp-50	0.9982669335913391	C=C|C=CC=C	C1=CCCCC1
88	[C$(C(#C)([CX4,OX2,NX3])),C$([CH](#C)):1]#[C$(C(#C)([CX4,OX2,NX3])),C$([CH](#C)):2].[C$(C(=C)([CX4,OX2,NX3])([CX4,OX2,NX3])),C$([CH](=C)([CX4,OX2,NX3])),C$([CH2](=C)):3]=[C$([C](=C)(C)([CX4,OX2,NX3])),C$([CH](=C)(C)):4]-[C$([C](=C)(C)([CX4,OX2,NX3])),C$([CH](=C)(C)):5]=[C$(C(=C)([CX4,OX2,NX3])([CX4,OX2,NX3])),C$([CH](=C)([CX4,OX2,NX3])),C$([CH2](=C)):6]>>[C:1]1=[C:2][C:3][C:4]=[C:5][C:6]1	10.4.2	uncategorized methylation	rxnfp-50	0.9400806219125397	C#C|C=CC=C	C1=CCC=CC1
89	[CH3,$([CH2](C=O)[#6])&!R:4][CD3:2](=[O:3])[c:1][c:5][OH:6].[C;$(C1[#6][#6][N,C][#6][#6]1):7](=[OD1])>>[O:6]1[c:5][c:1][C:2](=[OD1:3])[C:4][C:7]1	spiro-chromanone	spiro-chromanone	smarts-rules	1.0	CC(=O)c1ccccc1O|O=C1CCCCC1	O=C1CC2(CCCCC2)Oc2ccccc21
90	[C$(C(=O)(C)([CX4]))&!R,C$(C[H](=O)(C))&!R:1](=[O])[CH1,CH2:3][CH1,CH2:4][C$(C(=O)(C)([CX4]))&!R,C$(C[H](=O)(C))&!R:5]=[O].[N$([NH2,NH3+1]([CX4])):7]>>[c:5]1[c:4][c:3][c:1][n:7]1	Paal-Knorr pyrrole	Paal-Knorr pyrrole	smarts-rules	1.0	CC(=O)CCC(C)=O|CN	Cc1ccc(C)n1C
91	[NH1;$(N-c1ccccc1):1]([NH2])[c:5][cH1:4].[C;$(C([#6])[#6]):2](=[OD1])-[CH2;$(C([#6])[#6]);!$(C(C=O)C=O):3]>>[c:5]1[nH:1][c:2][c:3][c:4]1	Fischer indole	Fischer indole	smarts-rules	1.0	NNc1ccccc1|CCC(=O)CBr	Cc1c(CBr)[nH]c2ccccc12
92	[OH:7][c:6]1[cH:1][c:2][c:3][c:4][c:5]1.[O$(O(C)([CX4]))][C:11](=[O:15])[CH,CH2:10][C:8]=[O]>>[C:8]1=[C:10][C:11](=[O:15])[O:7][c:6]2[c:5][c:4][c:3][c:2][c:1]12	10.4.2	uncategorized methylation	rxnfp-50	0.9996531257123422	Oc1ccccc1|CCOC(=O)CC(C)=O	Cc1cc(=O)oc2ccccc12
93	[*;Br,I;$(*c1ccccc1)][c:1][c:2][OH1,SH1,NH2:3].[CH1:5]#[C:4]>>[c:1]1[c:2][*:3][c:4][c:5]1	indole	indole	smarts-rules	1.0	Nc1ccccc1Br|C#C	c1ccc2[nH]ccc2c1
94	[C$([C](O)([CX4])([CX4])([CX4])),C$([CH](O)([CX4])([CX4])),C$([CH2](O)([CX4]))][O][C$(C(=O)([CX4])),C$([CH](=O)):2]=[O:5].[C$([CH](C)([CX4])([CX4])),C$([CH2](C)([CX4])),C$([CH3](C)):7]-[C$(C(=O)([CX4])),C$([CH](=O)):8]=[O:9]>>[C:7]([C:2]=[O:5])[C:8]=[O:9]	10.4.2	uncategorized methylation	rxnfp-50	0.9992964592714443	CCOC(C)=O|CC=O	CC(=O)CC=O
95	[Br,I][C$(C([Br,I])([CX4])([CX4])([CX4])),C$([CH]([Br,I])([CX4])([CX4])),C$([CH2]([Br,I])([CX4])),C$([CH3]([Br,I])),C$([C]([Br,I])(=C)([CX4])),C$([CH]([Br,I])(=C)),C$(C([Br,I])(#C)),c$(c([Br,I])):1].[Br,I][C$(C([Br,I])([CX4])([CX4])([CX4])),C$([CH]([Br,I])([CX4])([CX4])),C$([CH2]([Br,I])([CX4])),C$([CH3]([Br,I])),C$([C]([Br,I])(=C)([CX4])),C$([CH]([Br,I])(=C)),C$(C([Br,I])(#C)),c$(c([Br,I])):2]>>[#6:1][#6:2]	Negishi	Negishi	smarts-rules	1.0	CBr|CBr	CC
96	[C$([CH](=C)([CX4])),C$([CH2](=C)):2]=[C$(C(=C)([CX4])([CX4])),C$([CH](=C)([CX4])),C$([CH2](=C)):3].[Br,I][C$([CX4]([Br,I])),c$([c]([Br,I])):4]>>[#6:4][C:2]=[C:3]	10.4.2	uncategorized methylation	rxnfp-50	0.9996140728258469	C=C|CBr	C=CC
97	[#6:1][C:2]#[N;D1].[Cl,Br,I][#6;$([#6]~[#6]);!$([#6]([Cl,Br,I])[Cl,Br,I]);!$([#6]=[O,S,N]):3]>>[#6:1][C:2](=O)[#6:3]	Grignard_carbonyl	Grignard_carbonyl	smarts-rules	1.0	CC#N|CCBr	CCC(C)=O
98	[#6:1][C;H1,$([C]([#6])[#6]):2]=[OD1:3].[Cl,Br,I][#6;$([#6]~[#6]);!$([#6]([Cl,Br,I])[Cl,Br,I]);!$([#6]=[O,S,N]):4]>>[C:1][#6:2]([OH1:3])[#6:4]	Grignard_alcohol	Grignard_alcohol	smarts-rules	1.0	CC=O|CCBr	CCC(C)O
99	[c:1]B(O)O.[nH1;+0;r5;!$(n[#6]=[O,S,N]);!$(n~n~n);!$(n~n~c~n);!$(n~c~n~n):2]>>[c:1][n:2]	N-arylation_heterocycles	N-arylation_heterocycles	smarts-rules	1.0	OB(O)c1ccccc1|c1cc[nH]c1	c1ccc(-n2cccc2)cc1
100	[*:1][C:2]#[CH:3].[Cl,Br,I][C$(C([CX4,c])([CX4,c])([CX4,c])),C$([CH]([CX4,c])([CX4,c])),C$([CH2]([CX4,c])),C$([CH3]),c$(c):4]>>[#6:4][C:3]#[C:2][*:1]	10.4.2	uncategorized methylation	rxnfp-50	0.9993988260529445	C#CC|CCl	CC#CC
